
 记录时间：2016-04-14 00:04:18,275 -描述：99999
 记录时间：2016-04-14 00:09:18,279 -描述：99999
 记录时间：2016-04-14 00:14:18,285 -描述：99999
 记录时间：2016-04-14 00:19:18,281 -描述：99999
 记录时间：2016-04-14 00:24:18,280 -描述：99999
 记录时间：2016-04-14 00:29:18,274 -描述：99999
 记录时间：2016-04-14 00:34:18,279 -描述：99999
 记录时间：2016-04-14 00:39:18,284 -描述：99999
 记录时间：2016-04-14 00:44:18,286 -描述：99999
 记录时间：2016-04-14 00:49:18,277 -描述：99999
 记录时间：2016-04-14 00:54:18,276 -描述：99999
 记录时间：2016-04-14 00:59:18,286 -描述：99999
 记录时间：2016-04-14 01:04:18,281 -描述：99999
 记录时间：2016-04-14 01:09:18,276 -描述：99999
 记录时间：2016-04-14 01:14:18,284 -描述：99999
 记录时间：2016-04-14 01:19:18,282 -描述：99999
 记录时间：2016-04-14 01:24:18,278 -描述：99999
 记录时间：2016-04-14 01:29:18,280 -描述：99999
 记录时间：2016-04-14 01:34:18,274 -描述：99999
 记录时间：2016-04-14 01:39:18,284 -描述：99999
 记录时间：2016-04-14 01:44:18,281 -描述：99999
 记录时间：2016-04-14 01:49:18,284 -描述：99999
 记录时间：2016-04-14 01:54:18,280 -描述：99999
 记录时间：2016-04-14 01:59:18,278 -描述：99999
 记录时间：2016-04-14 02:04:18,283 -描述：99999
 记录时间：2016-04-14 02:09:18,288 -描述：99999
 记录时间：2016-04-14 02:14:18,281 -描述：99999
 记录时间：2016-04-14 02:19:18,286 -描述：99999
 记录时间：2016-04-14 02:24:18,280 -描述：99999
 记录时间：2016-04-14 02:29:18,288 -描述：99999
 记录时间：2016-04-14 02:34:18,277 -描述：99999
 记录时间：2016-04-14 02:39:18,281 -描述：99999
 记录时间：2016-04-14 02:44:18,289 -描述：99999
 记录时间：2016-04-14 02:49:18,298 -描述：99999
 记录时间：2016-04-14 02:54:18,294 -描述：99999
 记录时间：2016-04-14 02:59:18,293 -描述：99999
 记录时间：2016-04-14 03:04:18,300 -描述：99999
 记录时间：2016-04-14 03:09:18,306 -描述：99999
 记录时间：2016-04-14 03:14:18,311 -描述：99999
 记录时间：2016-04-14 03:19:18,306 -描述：99999
 记录时间：2016-04-14 03:24:18,306 -描述：99999
 记录时间：2016-04-14 03:29:18,305 -描述：99999
 记录时间：2016-04-14 03:34:18,306 -描述：99999
 记录时间：2016-04-14 03:39:18,306 -描述：99999
 记录时间：2016-04-14 03:44:18,306 -描述：99999
 记录时间：2016-04-14 03:49:18,306 -描述：99999
 记录时间：2016-04-14 03:54:18,311 -描述：99999
 记录时间：2016-04-14 03:59:18,309 -描述：99999
 记录时间：2016-04-14 04:04:18,315 -描述：99999
 记录时间：2016-04-14 04:09:18,311 -描述：99999
 记录时间：2016-04-14 04:14:18,306 -描述：99999
 记录时间：2016-04-14 04:19:18,307 -描述：99999
 记录时间：2016-04-14 04:24:18,309 -描述：99999
 记录时间：2016-04-14 04:29:18,311 -描述：99999
 记录时间：2016-04-14 04:34:18,310 -描述：99999
 记录时间：2016-04-14 04:39:18,304 -描述：99999
 记录时间：2016-04-14 04:44:18,306 -描述：99999
 记录时间：2016-04-14 04:49:18,306 -描述：99999
 记录时间：2016-04-14 04:54:18,311 -描述：99999
 记录时间：2016-04-14 04:59:18,305 -描述：99999
 记录时间：2016-04-14 05:04:18,306 -描述：99999
 记录时间：2016-04-14 05:09:18,311 -描述：99999
 记录时间：2016-04-14 05:14:18,310 -描述：99999
 记录时间：2016-04-14 05:19:18,311 -描述：99999
 记录时间：2016-04-14 05:24:18,310 -描述：99999
 记录时间：2016-04-14 05:29:18,312 -描述：99999
 记录时间：2016-04-14 05:34:18,305 -描述：99999
 记录时间：2016-04-14 05:39:18,307 -描述：99999
 记录时间：2016-04-14 05:44:18,308 -描述：99999
 记录时间：2016-04-14 05:49:18,311 -描述：99999
 记录时间：2016-04-14 05:54:18,311 -描述：99999
 记录时间：2016-04-14 05:59:18,306 -描述：99999
 记录时间：2016-04-14 06:04:18,306 -描述：99999
 记录时间：2016-04-14 06:09:18,306 -描述：99999
 记录时间：2016-04-14 06:14:18,310 -描述：99999
 记录时间：2016-04-14 06:19:18,311 -描述：99999
 记录时间：2016-04-14 06:24:18,307 -描述：99999
 记录时间：2016-04-14 06:29:18,310 -描述：99999
 记录时间：2016-04-14 06:34:18,307 -描述：99999
 记录时间：2016-04-14 06:39:18,306 -描述：99999
 记录时间：2016-04-14 06:44:18,305 -描述：99999
 记录时间：2016-04-14 06:49:18,308 -描述：99999
 记录时间：2016-04-14 06:54:18,310 -描述：99999
 记录时间：2016-04-14 06:59:18,306 -描述：99999
 记录时间：2016-04-14 07:04:18,308 -描述：99999
 记录时间：2016-04-14 07:09:18,309 -描述：99999
 记录时间：2016-04-14 07:14:18,307 -描述：99999
 记录时间：2016-04-14 07:19:18,310 -描述：99999
 记录时间：2016-04-14 07:24:18,306 -描述：99999
 记录时间：2016-04-14 07:29:18,306 -描述：99999
 记录时间：2016-04-14 07:34:18,312 -描述：99999
 记录时间：2016-04-14 07:39:18,311 -描述：99999
 记录时间：2016-04-14 07:44:18,310 -描述：99999
 记录时间：2016-04-14 07:49:18,311 -描述：99999
 记录时间：2016-04-14 07:54:18,310 -描述：99999
 记录时间：2016-04-14 07:59:18,311 -描述：99999
 记录时间：2016-04-14 08:04:18,306 -描述：99999
 记录时间：2016-04-14 08:09:18,312 -描述：99999
 记录时间：2016-04-14 08:14:18,308 -描述：99999
 记录时间：2016-04-14 08:19:18,310 -描述：99999
 记录时间：2016-04-14 08:24:18,310 -描述：99999
 记录时间：2016-04-14 08:29:18,311 -描述：99999
 记录时间：2016-04-14 08:34:18,306 -描述：99999
 记录时间：2016-04-14 08:39:18,310 -描述：99999
 记录时间：2016-04-14 08:44:18,305 -描述：99999
 记录时间：2016-04-14 08:49:18,307 -描述：99999
 记录时间：2016-04-14 08:54:18,304 -描述：99999
 记录时间：2016-04-14 08:59:18,306 -描述：99999
 记录时间：2016-04-14 09:00:44,403 -描述：00001
 记录时间：2016-04-14 09:00:50,263 -描述：00001
 记录时间：2016-04-14 09:04:18,308 -描述：99999
 记录时间：2016-04-14 17:28:35,968 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:28:35,968 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:28:36,882 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:28:36,926 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:29:06,559 -描述：00001
 记录时间：2016-04-14 17:29:09,125 -描述：10003
 记录时间：2016-04-14 17:29:20,876 -描述：00031
 记录时间：2016-04-14 17:29:42,543 -描述：00001
 记录时间：2016-04-14 17:29:44,848 -描述：00001
 记录时间：2016-04-14 17:29:48,759 -描述：00001
 记录时间：2016-04-14 17:30:46,424 -描述：00033
 记录时间：2016-04-14 17:31:26,271 -描述：00001
 记录时间：2016-04-14 17:31:28,426 -描述：00001
 记录时间：2016-04-14 17:31:29,583 -描述：00001
 记录时间：2016-04-14 17:31:32,266 -描述：00001
 记录时间：2016-04-14 17:31:41,338 -描述：10003
 记录时间：2016-04-14 17:31:41,345 -描述：00033
 记录时间：2016-04-14 17:32:03,780 -描述：00000
 记录时间：2016-04-14 17:47:46,056 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:47:46,057 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:47:47,294 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:47:47,353 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:49:52,279 -描述：00001
 记录时间：2016-04-14 17:49:54,071 -描述：10003
 记录时间：2016-04-14 17:49:54,640 -描述：00033
 记录时间：2016-04-14 17:49:54,656 -描述：00111
 记录时间：2016-04-14 17:49:59,077 -描述：00001
 记录时间：2016-04-14 17:49:59,646 -描述：00033
 记录时间：2016-04-14 17:49:59,670 -描述：00111
 记录时间：2016-04-14 17:50:04,657 -描述：00033
 记录时间：2016-04-14 17:50:04,683 -描述：00111
 记录时间：2016-04-14 17:50:05,498 -描述：10003
 记录时间：2016-04-14 17:50:05,500 -描述：00033
 记录时间：2016-04-14 17:50:05,989 -描述：10003
 记录时间：2016-04-14 17:50:09,680 -描述：00033
 记录时间：2016-04-14 17:50:09,698 -描述：00111
 记录时间：2016-04-14 17:50:14,688 -描述：00033
 记录时间：2016-04-14 17:50:14,704 -描述：00111
 记录时间：2016-04-14 17:50:19,691 -描述：00033
 记录时间：2016-04-14 17:50:19,717 -描述：00111
 记录时间：2016-04-14 17:50:24,702 -描述：00033
 记录时间：2016-04-14 17:50:24,726 -描述：00111
 记录时间：2016-04-14 17:50:44,104 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:50:44,104 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:50:44,867 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:50:44,936 -描述：离线地图路径：D:\projects\shanghaiShow\zsdhmap\bin\Debug\OfflineTiles.db
 记录时间：2016-04-14 17:50:51,830 -描述：00001
 记录时间：2016-04-14 17:50:53,256 -描述：10003
 记录时间：2016-04-14 17:50:53,262 -描述：00033
 记录时间：2016-04-14 17:50:53,728 -描述：10003
 记录时间：2016-04-14 17:50:54,762 -描述：00033
 记录时间：2016-04-14 17:50:54,799 -描述：00111
 记录时间：2016-04-14 17:50:59,790 -描述：00033
 记录时间：2016-04-14 17:50:59,807 -描述：00111
 记录时间：2016-04-14 17:51:28,026 -描述：00001
 记录时间：2016-04-14 17:51:29,664 -描述：00001
 记录时间：2016-04-14 17:51:31,433 -描述：00001
 记录时间：2016-04-14 17:51:33,278 -描述：10003
 记录时间：2016-04-14 17:51:34,840 -描述：00033
 记录时间：2016-04-14 17:51:36,358 -描述：00111
 记录时间：2016-04-14 17:51:39,852 -描述：00033
 记录时间：2016-04-14 17:51:39,879 -描述：00111
 记录时间：2016-04-14 17:51:43,509 -描述：10003
 记录时间：2016-04-14 17:51:43,516 -描述：00033
 记录时间：2016-04-14 17:51:45,739 -描述：10003
 记录时间：2016-04-14 17:51:47,123 -描述：10003
 记录时间：2016-04-14 17:51:47,126 -描述：00033
 记录时间：2016-04-14 17:51:47,859 -描述：10003
 记录时间：2016-04-14 17:51:49,880 -描述：00033
 记录时间：2016-04-14 17:51:49,893 -描述：00111
 记录时间：2016-04-14 17:51:52,860 -描述：10003
 记录时间：2016-04-14 17:51:52,863 -描述：00033
 记录时间：2016-04-14 17:51:53,296 -描述：10003
 记录时间：2016-04-14 17:52:06,778 -描述：00001
 记录时间：2016-04-14 17:56:26,728 -描述：99999
 记录时间：2016-04-14 18:01:26,728 -描述：99999
 记录时间：2016-04-14 18:06:26,728 -描述：99999
 记录时间：2016-04-14 18:11:26,732 -描述：99999
 记录时间：2016-04-14 18:16:26,727 -描述：99999
 记录时间：2016-04-14 18:21:26,729 -描述：99999
 记录时间：2016-04-14 18:26:26,728 -描述：99999
 记录时间：2016-04-14 18:31:26,729 -描述：99999
 记录时间：2016-04-14 18:36:26,728 -描述：99999
 记录时间：2016-04-14 18:41:26,731 -描述：99999
 记录时间：2016-04-14 18:46:26,730 -描述：99999
 记录时间：2016-04-14 18:51:26,729 -描述：99999
 记录时间：2016-04-14 18:56:26,729 -描述：99999
 记录时间：2016-04-14 19:01:26,731 -描述：99999
 记录时间：2016-04-14 19:06:26,728 -描述：99999
 记录时间：2016-04-14 19:11:26,728 -描述：99999
 记录时间：2016-04-14 19:16:26,727 -描述：99999
 记录时间：2016-04-14 19:21:26,727 -描述：99999
 记录时间：2016-04-14 19:26:26,730 -描述：99999
 记录时间：2016-04-14 19:31:26,727 -描述：99999
 记录时间：2016-04-14 19:36:26,733 -描述：99999
 记录时间：2016-04-14 19:41:26,728 -描述：99999
 记录时间：2016-04-14 19:46:26,729 -描述：99999
 记录时间：2016-04-14 19:51:26,731 -描述：99999
 记录时间：2016-04-14 19:56:26,727 -描述：99999
 记录时间：2016-04-14 20:01:26,726 -描述：99999
 记录时间：2016-04-14 20:06:26,728 -描述：99999
 记录时间：2016-04-14 20:11:26,730 -描述：99999
 记录时间：2016-04-14 20:16:26,729 -描述：99999
 记录时间：2016-04-14 20:21:26,731 -描述：99999
 记录时间：2016-04-14 20:26:26,732 -描述：99999
 记录时间：2016-04-14 20:31:26,732 -描述：99999
 记录时间：2016-04-14 20:36:26,730 -描述：99999
 记录时间：2016-04-14 20:41:26,733 -描述：99999
 记录时间：2016-04-14 20:46:26,731 -描述：99999
 记录时间：2016-04-14 20:51:26,731 -描述：99999
 记录时间：2016-04-14 20:56:26,732 -描述：99999
 记录时间：2016-04-14 21:01:26,732 -描述：99999
 记录时间：2016-04-14 21:06:26,734 -描述：99999
 记录时间：2016-04-14 21:11:26,731 -描述：99999
 记录时间：2016-04-14 21:16:26,731 -描述：99999
 记录时间：2016-04-14 21:21:26,728 -描述：99999
 记录时间：2016-04-14 21:26:26,727 -描述：99999
 记录时间：2016-04-14 21:31:26,732 -描述：99999
 记录时间：2016-04-14 21:36:26,733 -描述：99999
 记录时间：2016-04-14 21:41:26,732 -描述：99999
 记录时间：2016-04-14 21:46:26,731 -描述：99999
 记录时间：2016-04-14 21:51:26,735 -描述：99999
 记录时间：2016-04-14 21:56:26,733 -描述：99999
 记录时间：2016-04-14 21:56:48,816 -描述：00001
 记录时间：2016-04-14 21:57:02,183 -描述：00001
 记录时间：2016-04-14 21:57:11,615 -描述：10003
 记录时间：2016-04-14 21:57:11,620 -描述：00033
 记录时间：2016-04-14 21:57:12,926 -描述：10003
 记录时间：2016-04-14 21:57:14,727 -描述：10003
 记录时间：2016-04-14 21:57:14,729 -描述：00033
 记录时间：2016-04-14 21:57:15,580 -描述：10003
 记录时间：2016-04-14 21:57:20,277 -描述：00038
 记录时间：2016-04-14 21:58:05,238 -描述：00001
 记录时间：2016-04-14 21:58:12,625 -描述：00001
 记录时间：2016-04-14 22:01:26,731 -描述：99999
 记录时间：2016-04-14 22:06:26,732 -描述：99999
 记录时间：2016-04-14 22:11:26,733 -描述：99999
 记录时间：2016-04-14 22:16:26,733 -描述：99999
 记录时间：2016-04-14 22:21:26,735 -描述：99999
 记录时间：2016-04-14 22:26:26,729 -描述：99999
 记录时间：2016-04-14 22:31:26,728 -描述：99999
 记录时间：2016-04-14 22:36:26,731 -描述：99999
 记录时间：2016-04-14 22:41:26,727 -描述：99999
 记录时间：2016-04-14 22:46:26,727 -描述：99999
 记录时间：2016-04-14 22:51:26,730 -描述：99999
 记录时间：2016-04-14 22:56:26,734 -描述：99999
 记录时间：2016-04-14 23:01:26,727 -描述：99999
 记录时间：2016-04-14 23:06:26,731 -描述：99999
 记录时间：2016-04-14 23:11:26,735 -描述：99999
 记录时间：2016-04-14 23:16:26,736 -描述：99999
 记录时间：2016-04-14 23:21:26,728 -描述：99999
 记录时间：2016-04-14 23:26:26,730 -描述：99999
 记录时间：2016-04-14 23:31:26,734 -描述：99999
 记录时间：2016-04-14 23:36:26,728 -描述：99999
 记录时间：2016-04-14 23:41:26,735 -描述：99999
 记录时间：2016-04-14 23:46:26,728 -描述：99999
 记录时间：2016-04-14 23:51:26,734 -描述：99999
 记录时间：2016-04-14 23:56:26,728 -描述：99999
